SEMBOL,FİYAT,SKOR,GEÇEN ANALİZLER,TAKILDIĞI ANALİZLER,KURUM ALIŞ-SATIŞ ANALİZİ,OLUSTURULMA_ZAMANI
VERTU,41.14,5,EMA kısa vadede yukarı trend; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=8.28, satış=3.34 | Alışlar: BOFA 1g: +0.50, BOFA 2g: +0.37, BOFA 3g: +0.38, TERA 1g: +2.27, TERA 2g: +2.35, TERA 3g: +2.41 | Satışlar: KAMU 1g: -1.12, KAMU 2g: -1.11, KAMU 3g: -1.11",16.07.2025 22:41
IZINV,46.94,6,Golden Cross seviyesine yakın; RSI 30-50 arası ve yukarı trendde; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,EMA trend; RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=0.64, satış=0.36 | Alışlar: BOFA 1g: +0.01, KAMU 1g: +0.06, KAMU 2g: +0.28, KAMU 3g: +0.28, TERA 1g: +0.01 | Satışlar: BOFA 2g: -0.16, BOFA 3g: -0.16, TERA 2g: -0.02, TERA 3g: -0.02",16.07.2025 22:41
MAKTK,17.74,7,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=5.93, satış=2.86 | Alışlar: BOFA 1g: +1.52, BOFA 2g: +1.85, BOFA 3g: +1.94, TERA 1g: +0.33, TERA 2g: +0.14, TERA 3g: +0.16 | Satışlar: KAMU 1g: -0.71, KAMU 2g: -1.08, KAMU 3g: -1.08",16.07.2025 22:41
METUR,42.56,4,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.44, satış=3.72 | Alışlar: KAMU 2g: +0.15, KAMU 3g: +0.16, TERA 2g: +0.07, TERA 3g: +0.06 | Satışlar: BOFA 1g: -0.07, BOFA 2g: -1.64, BOFA 3g: -1.64, KAMU 1g: -0.30, TERA 1g: -0.08",16.07.2025 22:41
BAGFS,33.76,7,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=1.66, satış=1.35 | Alışlar: BOFA 2g: +0.72, BOFA 3g: +0.71, KAMU 1g: +0.23 | Satışlar: BOFA 1g: -0.40, KAMU 2g: -0.21, KAMU 3g: -0.21, TERA 1g: -0.17, TERA 2g: -0.18, TERA 3g: -0.19",16.07.2025 22:41
INVEO,9.29,4,Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,EMA trend; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.48, satış=1.18 | Alışlar: BOFA 1g: +0.05, BOFA 2g: +0.21, BOFA 3g: +0.22 | Satışlar: KAMU 1g: -0.12, KAMU 2g: -0.35, KAMU 3g: -0.42, TERA 1g: -0.04, TERA 2g: -0.13, TERA 3g: -0.13",16.07.2025 22:41
DZGYO,7.19,3,EMA kısa vadede yukarı trend; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.17, satış=2.06 | Alışlar: BOFA 1g: +0.14, TERA 1g: +0.03 | Satışlar: BOFA 2g: -0.12, BOFA 3g: -0.10, KAMU 1g: -0.42, KAMU 2g: -0.45, KAMU 3g: -0.48, TERA 2g: -0.25, TERA 3g: -0.24",16.07.2025 22:41
IMASM,3.54,7,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=5.03, satış=3.23 | Alışlar: BOFA 2g: +2.38, BOFA 3g: +2.31, KAMU 1g: +0.35 | Satışlar: BOFA 1g: -0.25, KAMU 2g: -1.12, KAMU 3g: -1.09, TERA 1g: -0.28, TERA 2g: -0.19, TERA 3g: -0.30",16.07.2025 22:41
SAYAS,55.9,5,Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor,EMA trend; RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15,"Güçlü kurum alış var (+1 puan): Toplam alış=1.20, satış=0.45 | Alışlar: KAMU 1g: +0.41, KAMU 2g: +0.21, KAMU 3g: +0.20, TERA 1g: +0.10, TERA 2g: +0.14, TERA 3g: +0.14 | Satışlar: BOFA 1g: -0.27, BOFA 2g: -0.09, BOFA 3g: -0.10",16.07.2025 22:41
ADESE,12.4,5,EMA kısa vadede yukarı trend; Golden Cross seviyesine yakın; MACD pozitif ve histogram artışta; Momentum pozitif; Stochastic K dipten çıkıyor; PD/DD makul düzeyde,RSI seviyesi/trendi (1); RSI son 3 gün artış (2); OBV pozitif; ADX <= 15,"Güçlü kurum satış var (-1 puan): Toplam alış=0.85, satış=6.63 | Alışlar: TERA 2g: +0.45, TERA 3g: +0.40 | Satışlar: BOFA 1g: -1.16, BOFA 2g: -1.21, BOFA 3g: -1.31, KAMU 1g: -0.38, KAMU 2g: -1.02, KAMU 3g: -1.06, TERA 1g: -0.49",16.07.2025 22:41
